temperature,humidity,Time,Temperature,Humidity,HeatIndex
,,2026-02-23 21:52:48.410620,22.5,67.0,22.55
,,2026-02-23 21:52:50.651282,22.5,67.0,22.55
,,2026-02-23 21:52:52.862012,22.5,67.0,22.55
,,2026-02-23 21:52:55.062797,22.5,67.0,22.55
,,2026-02-23 21:52:56.386499,22.5,67.0,22.55
,,2026-02-23 21:52:58.584591,22.5,67.0,22.55
,,2026-02-23 21:53:00.778155,22.5,67.0,22.55
,,2026-02-23 21:53:02.992255,22.5,67.0,22.55
,,2026-02-23 21:53:05.196380,22.5,67.0,22.55
,,2026-02-23 21:53:06.395136,22.5,67.0,22.55
,,2026-02-23 21:53:08.603809,22.5,67.0,22.55
,,2026-02-23 21:53:10.800970,22.5,66.0,22.53
,,2026-02-23 21:53:13.036751,22.5,67.0,22.55
,,2026-02-23 21:53:15.264564,22.5,67.0,22.55
,,2026-02-23 21:53:17.501266,22.5,67.0,22.55
,,2026-02-23 21:53:18.710915,22.5,67.0,22.55
,,2026-02-23 21:53:20.913540,22.5,67.0,22.55
,,2026-02-23 21:53:23.447215,22.5,67.0,22.55
,,2026-02-23 21:53:25.651521,22.5,67.0,22.55
,,2026-02-23 21:53:26.858658,22.5,67.0,22.55
,,2026-02-23 21:53:29.049166,22.5,67.0,22.55
,,2026-02-23 21:53:31.317880,22.5,67.0,22.55
,,2026-02-23 21:53:33.510105,22.5,67.0,22.55
